,vectorName,vectorAddress,postal_code,lat,lon
231,The Northern Trust Co,1 George St #12-04 One George St Singapore 049145,Singapore 049145,1.28566,103.847861
232,The Royal Bank Of Scotland N.V.,391B Orchard Rd #16-05 Ngee Ann City-Tower B Singapore 238874,Singapore 238874,1.302707,103.834289
233,The Shizuoka Bank Ltd,80 Raffles Pl #09-21 UOB Plaza 2 Singapore 048624,Singapore 048624,1.285361,103.85054
234,The Siam Commercial Bank Public Company Limited,"Robinson Rd, Singapore 068893",Singapore 068893,1.27926,103.8492459
235,Tirumalai Moneylender,"194 Kim Keat Ave, Singapore 310194",Singapore 310194,1.330951,103.858203
236,UBS AG,1 Raffles Quay #45-00 One Raffles Quay Singapore 048583,Singapore 048583,1.281142,103.851928
237,UCO Bank,"3 Raffles Pl, Singapore 048617",Singapore 048617,1.283426,103.851155
238,UniCredit Bank AG,"#36-01 One Raffles Quay (North Tower), 1 Raffles Quay, Singapore 048583",Singapore 048583,1.281142,103.851928
239,Union Bancaire Privee,"6 Battery Rd, Singapore 049909",Singapore 049909,1.285539,103.851667
240,United Overseas Bank Ltd,80 Raffles Pl #B1-00 UOB Plaza 1 Singapore 048624,Singapore 048624,1.285361,103.85054
241,Valartis Bank (Austria) AG,"50 Raffles Place, #42-05, Singapore Land Tower, Singapore 048623",Singapore 048623,1.284542,103.851951
242,Wee Nee Holding Pte Ltd,372 Geylang Rd   Singapore 389383,Singapore 389383,1.312939,103.88151
243,Wells Fargo Bank National Assn,2 Tai Seng Ave   Singapore 534408,Singapore 534408,1.336444,103.893493
244,Westpac Banking Corpn,12 Marina View #27-00 Asia Sq Tower 2 Singapore 018961,Singapore 018961,1.278295,103.850662
245,Wpp S'pore Pte Ltd,50 Scotts Rd #01-00  Singapore 228242,Singapore 228242,1.311308,103.836963
